Date,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or Third Party,Critical Risk,Description_final
2016-01-01,Country_01,Local_01,Mining,1,4,Male,Third Party,Pressed,remove drill rod jumbo maintenance supervisor proceed loosen support intermediate centralizer facilitate removal see mechanic support one end drill equipment pull hand bar accelerate removal moment bar slide point support tighten finger mechanic drill bar beam jumbo
2016-01-02,Country_02,Local_02,Mining,1,4,Male,Employee,Pressurized Systems,activation sodium sulphide pump pip uncouple sulfide solution design area reach maid immediately make use emergency shower direct ambulatory doctor later hospital note sulphide solution grams liter
2016-01-06,Country_01,Local_03,Mining,1,3,Male,Third Party (Remote),Manual Tools,sub station milpo locate level collaborator excavation work pick hand tool hit rock flat part beak bounce hit steel tip safety shoe metatarsal area leave foot collaborator cause injury
2016-01-08,Country_01,Local_04,Mining,1,1,Male,Third Party,Others,approximately nv cx ob personnel begin task unlock soquet bolt bhb machine penultimate bolt identify hexagonal head wear proceed mr crist bal auxiliary assistant climb platform exert pressure hand dado key prevent come bolt moments two collaborators rotate lever anti clockwise direction leave key bolt hit palm leave hand cause injury
2016-01-10,Country_01,Local_04,Mining,4,4,Male,Third Party,Others,approximately circumstances mechanics anthony group leader eduardo eric fern ndez injure three company impromec perform removal pulley motor pump zaf marcy cm length cm weight kg lock proceed heat pulley loosen come fall distance meter high hit instep right foot worker cause injury describe
2016-01-12,Country_02,Local_05,Metals,1,3,Male,Third Party (Remote),Pressurized Systems,unload operation ustulado bag need unclog discharge mouth silo truck perform procedure maneuver unhook hose without total depressurisation mouth project ustulado powder collaborator cause irritation eye
2016-01-16,Country_02,Local_05,Metals,1,3,Male,Employee,Fall Prevention (Same Level),collaborator report street hold leave hand volumetric balloon slip place hand grind volumetric balloon end break cause small wind leave hand
2016-01-17,Country_01,Local_04,Mining,1,3,Male,Third Party,Pressed,approximately p mechanic technician jos tecnomin verify transmission belt hm pump acid plant proceed turn pulley manually unexpectedly instant electrician supervisor miguel eka mine grab transmission belt verify tension point finger trap
2016-01-19,Country_02,Local_02,Mining,1,4,Male,Third Party (Remote),Others,employee sit rest area level raise bore suffer sudden illness fall suffer excoriation face
2016-01-26,Country_01,Local_06,Metals,1,2,Male,Third Party,Chemical Substances,moment forklift operator go manipulate big bag bioxide section front ladder lead area manual displacement splash spend height forehead fissure pipe g subsequently spill leave eye collaborator go nearby eyewash clean immediately medical center
2016-01-28,Country_01,Local_03,Mining,1,3,Male,Employee,Others,instal segment polyurethane pulley protective lyner x x cm weigh kg head pulley ore winch pulley rotate compress lyner inside channel fall house rub right side worker hip generate injury describe
2016-01-30,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,prepare rice lunch day move pot kg weight include content evacuate residual water cook rice position pot jaba tilt backwards spill ml hot water cook leg cook immediately event apply first aid pour cold water area injury go medical post evaluation
2016-02-01,Country_02,Local_05,Metals,1,1,Male,Employee,Liquid Metal,collaborator report work ustulaci n realize cyclone duct obstruct open door try unclog material detach project towards employee cause small burn right heel
